column_name,column_type,min,max,approx_unique,avg,std,q25,q50,q75,count,null_percentage
date,TIMESTAMP,2025-03-30 15:00:00,2025-03-31 20:00:00,29,NA,NA,2025-03-30 22:00:00,2025-03-31 05:30:00,2025-03-31 13:00:00,90,0
temperature_2m,FLOAT,37.4,75.3,63,53.41222220526801,9.385415849826149,45.900001525878906,54.79999923706055,60.5,90,0
precipitation_probability,DOUBLE,0.0,62.0,32,9.233333333333333,12.386155736651478,1.0,4.0,12.0,90,0
precipitation,FLOAT,0.0,0.079,10,0.0033444445269803207,0.011851289657984829,0.0,0.0,0.0,90,0
rain,FLOAT,0.0,0.079,10,0.0033444445269803207,0.011851289657984829,0.0,0.0,0.0,90,0
showers,FLOAT,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,90,0
snowfall,FLOAT,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,90,0
snow_depth,FLOAT,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,90,0
weather_code,DOUBLE,0.0,61.0,9,13.677777777777777,20.325899666519888,3.0,3.0,3.0,90,0
visibility,FLOAT,0.0,129921.3,64,56507.00117899577,31368.131896970197,41010.5,53477.701171875,76443.6015625,90,0
wind_speed_10m,FLOAT,0.67,20.44,79,8.466333338287141,4.69834434985516,4.300000190734863,7.519999980926514,12.800000190734863,90,0
wind_direction_10m,DOUBLE,42.27362823486328,328.523193359375,97,196.170697233412,91.33049499415263,112.47947692871094,198.0754623413086,284.0362548828125,90,0
latitude,DOUBLE,34.0522,40.7128,3,37.837666666666685,2.809985585952075,34.0522,38.748,40.7128,90,0
longitude,DOUBLE,-118.2437,-74.006,3,-94.22956666666668,18.36006576442899,-118.2437,-90.439,-74.006,90,0
speed_bin,"ENUM('0-2', '2-4', '4-6', '6-8', '8-10', '10+')",0-2,10+,6,NA,NA,NA,NA,NA,90,0
wind_direction_cardinal,VARCHAR,E,W,7,NA,NA,NA,NA,NA,90,0
direction_bin,DOUBLE,30.0,315.0,17,188.0,91.45453834703706,105.0,195.0,270.0,90,0
direction_angle,INTEGER,45,315,7,195.0,92.24722522546547,90,180,270,90,0
visibility_category,VARCHAR,Clearest (>30 km),Fog/Haze (<1 km),3,NA,NA,NA,NA,NA,90,0
date_only,VARCHAR,2025-03-30,2025-03-31,2,NA,NA,NA,NA,NA,90,0
year,BIGINT,2025,2025,1,2025.0,0.0,2025,2025,2025,90,0
month,BIGINT,3,3,1,3.0,0.0,3,3,3,90,0
month_name,"ENUM('January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December')",March,March,1,NA,NA,NA,NA,NA,90,0
month_abb,"ENUM('Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov', 'Dec')",Mar,Mar,1,NA,NA,NA,NA,NA,90,0
day,BIGINT,30,31,2,30.7,0.46082485888002794,30,31,31,90,0
weekday_name,"ENUM('Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday')",Sunday,Monday,2,NA,NA,NA,NA,NA,90,0
weekday_abb,"ENUM('Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat')",Sun,Mon,2,NA,NA,NA,NA,NA,90,0
month_day,VARCHAR,Mar 30,Mar 31,2,NA,NA,NA,NA,NA,90,0
time_only,VARCHAR,00:00:00,23:00:00,24,NA,NA,NA,NA,NA,90,0
common_date,TIMESTAMP,1970-01-01 00:00:00,1970-01-01 23:00:00,28,NA,NA,1970-01-01 07:00:00,1970-01-01 14:30:00,1970-01-01 18:00:00,90,0
