"column_name","column_type","min","max","approx_unique","avg","std","q25","q50","q75","count","null_percentage"
"date","TIMESTAMP","2025-02-22 20:00:00","2025-02-24 01:00:00",31,,,"2025-02-23 03:00:00","2025-02-23 10:30:00","2025-02-23 18:00:00",30,0
"temperature_2m","DOUBLE","24.683000564575195","55.733001708984375",30,"36.37400010426839","10.362402761997636","27.562999725341797","32.10799980163574","44.75299835205078",30,0
"precipitation_probability","DOUBLE","0.0","0.0",1,"0.0","0.0","0.0","0.0","0.0",30,0
"precipitation","DOUBLE","0.0","0.0",1,"0.0","0.0","0.0","0.0","0.0",30,0
"rain","DOUBLE","0.0","0.0",1,"0.0","0.0","0.0","0.0","0.0",30,0
"showers","DOUBLE","0.0","0.0",1,"0.0","0.0","0.0","0.0","0.0",30,0
"snowfall","DOUBLE","0.0","0.0",1,"0.0","0.0","0.0","0.0","0.0",30,0
"snow_depth","DOUBLE","0.0","0.0",1,"0.0","0.0","0.0","0.0","0.0",30,0
"weather_code","DOUBLE","0.0","3.0",4,"0.36666666666666664","0.8502873077655143","0.0","0.0","0.0",30,0
"visibility","DOUBLE","56102.36328125","165026.25",25,"99803.14973958333","37644.75308097636","64960.62890625","85301.8359375","146981.625",30,0
"wind_speed_10m","DOUBLE","4.818645477294922","9.204379081726074",26,"6.354278389612833","1.3070736985256621","5.236682891845703","5.964153289794922","7.516453742980957",30,0
"wind_direction_10m","DOUBLE","164.57777404785156","222.3973846435547",27,"203.21544901529947","11.901945682127973","198.43504333496094","203.8631591796875","208.81069946289062",30,0
